ticker,exchange_suffix,name,sector
CABKA.AS,.AS,CABKA,
CABLE.AS,.AS,GIG,
CADLR.OL,.OL,CADELER,
CAF.PA,.PA,CRCAM PARIS ET IDF,
CAI.MI,.MI,CAIRO COMMUNICAT,
CALT.MI,.MI,CALTAGIRONE,
CAMB.BR,.BR,CAMPINE,
CAMBI.OL,.OL,CAMBI,
CAND.BR,.BR,CANDELA INVEST,
CAP.PA,.PA,CAPGEMINI,
CAPSL.OL,.OL,CAPSOL TECHNOLOGI,
CARM.PA,.PA,CARMILA,
CAT31.PA,.PA,CA TOULOUSE 31 CCI,
CAVEN.OL,.OL,CAVENDISH HYDROGEN,
CBB.MI,.MI,CLEANBNB,
CBDG.PA,.PA,CAMBODGE NOM.,
CBE.PA,.PA,ROBERTET CI,
CBOT.PA,.PA,CBO TERRITORIA,
CBR.PA,.PA,ROBERTET CDV 87,
CBSM.PA,.PA,SCBSM,
CCEP.AS,.AS,Coca-ColaEuropacif,
CCN.PA,.PA,CRCAM NORM.SEINE,
CDA.PA,.PA,ALPES (COMPAGNIE),
CDG.MI,.MI,CASTA DIVA GROUP,
CDI.PA,.PA,CHRISTIAN DIOR,
CDU.LS,.LS,CONDURIL,
CE.MI,.MI,CREDEM,
CED.MI,.MI,CALTAGIRONE EDIT,
CELL.MI,.MI,CELLULARLINE,
CEM.MI,.MI,CEMENTIR HOLDING,
CEN.PA,.PA,GROUPE CRIT,
CENER.BR,.BR,CENERGY,
CFEB.BR,.BR,CFE,
CFI.PA,.PA,CFI,
CFL.MI,.MI,COFLE,
CFM.MI,.MI,CROWDFUNDME,
CFV.MI,.MI,CONFINVEST ORO,
CGF.MI,.MI,COGEFEED,
CHSR.PA,.PA,CHAUSSERIA,
CIR.MI,.MI,CIR,
CIRC.MI,.MI,CIRCLE,
CIV.PA,.PA,CRCAM ILLE-VIL.CCI,
CLABO.MI,.MI,CLABO,
CLARI.PA,.PA,CLARIANE,
CLE.MI,.MI,CLASS EDITORI,
CLEX.BR,.BR,CUMULEX,
CLF.MI,.MI,CALEFFI,
CLI.MI,.MI,C. LATTE D'ITALIA,
CLOUD.OL,.OL,CLOUDBERRY CLEAN,
CMB.MI,.MI,CEMBRE,
CMBT.BR,.BR,CMB.TECH,
CMBTO.OL,.OL,CMB.TECH,
CMCOM.AS,.AS,CM.COM,
CMO.PA,.PA,CRCAM MORBIHAN CCI,
CMTL.MI,.MI,COM.TEL,
CNDF.PA,.PA,CRCAM NORD CCI,
CO.PA,.PA,CASINO GUICHARD,
COBH.BR,.BR,CO.BR.HA,
CODE.OL,.OL,CODELAB CAPITAL,
COFA.PA,.PA,COFACE,
COFB.BR,.BR,COFINIMMO,
COH.PA,.PA,COHERIS,
COLR.BR,.BR,COLRUYT,
COM.MI,.MI,COMER INDUSTRIES,
COMB.BR,.BR,CIE BOIS SAUVAGE,
CONTX.OL,.OL,CONTEXTVISION,
COP.MI,.MI,COPERNICO,
COR.LS,.LS,CORTICEIRA AMORIM,
CORE.MI,.MI,ALLCORE,
COSH.OL,.OL,CONSTELLATION OIL,
COSMO.MI,.MI,FARMACOSMO,
COTY.PA,.PA,COTY,
COUR.PA,.PA,COURTOIS,
COV.PA,.PA,COVIVIO,
COVH.PA,.PA,COVIVIO HOTELS,
CPINV.BR,.BR,CARE PROPERTY INV.,
CPR.MI,.MI,CAMPARI,
CRAP.PA,.PA,CRCAM ALP.PROV.CCI,
CRAV.PA,.PA,CRCAM ATL.VEND.CCI,
CRBN.AS,.AS,CORBION,
CRBP2.PA,.PA,CRCAM BRIE PIC2CCI,
CREG.MI,.MI,CREACTIVES GROUP,
CRI.PA,.PA,CIECHARGEURSINVEST,
CRL.MI,.MI,CAREL INDUSTRIES,
CRLA.PA,.PA,CRCAM LANGUED CCI,
CRLO.PA,.PA,CRCAM LOIRE HTE L.,
CRNA.OL,.OL,CIRCIO HOLDING,
CROS.PA,.PA,CROSSWOOD,
CRSU.PA,.PA,CRCAM SUD R.A.CCI,
CRTO.PA,.PA,CRCAM TOURAINE CCI,
CS.PA,.PA,AXA,
CSP.MI,.MI,CSP INT IND CALZE,
CTAC.AS,.AS,CTAC,
CTPNV.AS,.AS,CTP,
CTT.LS,.LS,CTT CORREIOS PORT,
CUBE.MI,.MI,CUBE LABS,
CULT.MI,.MI,CULTI MILANO,
CV.PA,.PA,ZCI LIMITED,
CVC.AS,.AS,CVC CAPITAL,
CVG.MI,.MI,CONVERGENZE,
CY4.MI,.MI,CY4GATE,
CYAD.BR,.BR,CELYAD ONCOLOGY,
CYB.MI,.MI,CYBEROO,
CYVIZ.OL,.OL,CYVIZ,
D.MI,.MI,DIRECTA SIM,
DAL.MI,.MI,DATALOGIC,
DAN.MI,.MI,DANIELI & C,
DANR.MI,.MI,DANIELI & C RISP,
DATA.MI,.MI,DATRIX,
DBA.MI,.MI,DBA GROUP,
DBG.PA,.PA,DERICHEBOURG,
